z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total
-0.4480987606459944,0,-0.39410400390625,14,16,100000,22944
-0.4480987606459944,1,0.20587158203125,14,16,100000,22944
-0.4480987606459944,2,0.80584716796875,14,16,100000,22944
-0.4476987447698745,0,-0.39422607421875,14,16,100000,22944
-0.4476987447698745,1,0.20574951171875,14,16,100000,22944
-0.4476987447698745,2,0.80572509765625,14,16,100000,22944
-0.43950587920281003,0,-0.39752197265625,14,16,100000,22944
-0.43950587920281003,1,0.20245361328125,14,16,100000,22944
-0.43950587920281003,2,0.80242919921875,14,16,100000,22944
-0.4393305439330545,0,-0.39764404296875,14,16,100000,22944
-0.4393305439330545,1,0.20233154296875,14,16,100000,22944
-0.4393305439330545,2,0.80242919921875,14,16,100000,22944
-0.4309623430962344,0,-0.40093994140625,14,16,100000,22944
-0.4309623430962344,1,0.19903564453125,14,16,100000,22944
-0.4309623430962344,2,0.79901123046875,14,16,100000,22944
-0.43084681229431926,0,-0.40106201171875,14,16,100000,22944
-0.43084681229431926,1,0.19891357421875,14,16,100000,22944
-0.43084681229431926,2,0.79901123046875,14,16,100000,22944
-0.42301303306224924,0,-0.40423583984375,14,16,100000,22944
-0.42301303306224924,1,0.19586181640625,14,16,100000,22944
-0.42301303306224924,2,0.79583740234375,14,16,100000,22944
-0.4225941422594143,0,-0.40435791015625,14,16,100000,22944
-0.4225941422594143,1,0.19561767578125,14,16,100000,22944
-0.4225941422594143,2,0.79559326171875,14,16,100000,22944
-0.41422594142259417,0,-0.40777587890625,14,16,100000,22944
-0.41422594142259417,1,0.19219970703125,14,16,100000,22944
-0.41422594142259417,2,0.79217529296875,14,16,100000,22944
-0.4140474929610606,0,-0.40789794921875,14,16,100000,22944
-0.4140474929610606,1,0.19219970703125,14,16,100000,22944
-0.4140474929610606,2,0.79217529296875,14,16,100000,22944
-0.40590601042638147,0,-0.41119384765625,14,16,100000,22944
-0.40590601042638147,1,0.18878173828125,14,16,100000,22944
-0.40590601042638147,2,0.78887939453125,14,16,100000,22944
-0.40585774058577406,0,-0.41119384765625,14,16,100000,22944
-0.40585774058577406,1,0.18878173828125,14,16,100000,22944
-0.40585774058577406,2,0.78875732421875,14,16,100000,22944
-0.39748953974895407,0,-0.41461181640625,14,16,100000,22944
-0.39748953974895407,1,0.18536376953125,14,16,100000,22944
-0.39748953974895407,2,0.78533935546875,14,16,100000,22944
-0.397442775125283,0,-0.41461181640625,14,16,100000,22944
-0.397442775125283,1,0.18536376953125,14,16,100000,22944
-0.397442775125283,2,0.78533935546875,14,16,100000,22944
-0.38912133891213396,0,-0.41815185546875,14,16,100000,22944
-0.38912133891213396,1,0.18194580078125,14,16,100000,22944
-0.38912133891213396,2,0.78192138671875,14,16,100000,22944
-0.3888649128856008,0,-0.41815185546875,14,16,100000,22944
-0.3888649128856008,1,0.18182373046875,14,16,100000,22944
-0.3888649128856008,2,0.78179931640625,14,16,100000,22944
-0.38075313807531386,0,-0.42156982421875,14,16,100000,22944
-0.38075313807531386,1,0.17840576171875,14,16,100000,22944
-0.38075313807531386,2,0.77838134765625,14,16,100000,22944
-0.3797696942956966,0,-0.42193603515625,14,16,100000,22944
-0.3797696942956966,1,0.17803955078125,14,16,100000,22944
-0.3797696942956966,2,0.77801513671875,14,16,100000,22944
-0.37238493723849375,0,-0.42510986328125,14,16,100000,22944
-0.37238493723849375,1,0.17486572265625,14,16,100000,22944
-0.37238493723849375,2,0.77496337890625,14,16,100000,22944
-0.3721650823019779,0,-0.42523193359375,14,16,100000,22944
-0.3721650823019779,1,0.17486572265625,14,16,100000,22944
-0.3721650823019779,2,0.77484130859375,14,16,100000,22944
-0.36401673640167365,0,-0.42864990234375,14,16,100000,22944
-0.36401673640167365,1,0.17144775390625,14,16,100000,22944
-0.36401673640167365,2,0.77142333984375,14,16,100000,22944
-0.3633750336910906,0,-0.42889404296875,14,16,100000,22944
