geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
55,uniform,0.0569641678877387,0.031352972405450284,0.011219517084450724,0.025085872185703652,0.016180991313899155,0.005790293377672912,65.12886424835666,0.7281446091254612,0.26056320199528077
56,active,0.00011459059836879,5.011073154910616e-05,1.793189498778708e-05,7.296803709761342e-05,3.0854663014449345e-05,1.1041199358993045e-05,15.800916724786953,0.00040088585239283527,0.0001434551599022916
56,uniform,0.07255518536230707,0.031728549007880864,0.011353915445569344,0.046094240707458295,0.016291939413249315,0.005829995645134165,84.07424083183561,0.7331372735962176,0.26234980403103686
57,active,9.891027034584597e-05,5.119015823054309e-05,1.8318162864949764e-05,6.405432802034814e-05,4.5440155898382174e-05,1.6260550956035623e-05,15.800791282162766,0.000409521265844339,0.00014654530291959605
57,uniform,0.06262689174623744,0.032412008245122956,0.011598488192599553,0.04484134634320267,0.024425536392184626,0.008740565943959742,84.01786058544414,1.0991491376483071,0.3933254674781881
58,active,0.0001183186853011525,4.018701785133007e-05,1.438073964807703e-05,0.00015174034987344609,5.291017094279003e-05,1.8933661509256047e-05,23.00094654948241,0.0003214961428105082,0.00011504591718456887
58,uniform,0.07491569348666108,0.02544516365973468,0.009105434875686961,0.08271072111906436,0.029578121472600378,0.01058439483492515,121.7219824503579,1.3310154662670188,0.47629776757163245
59,active,0.0001356520072778029,3.779318680554229e-05,1.3524118209822718e-05,0.00016583644794912133,4.686138314182079e-05,1.676913059347614e-05,23.001085216058225,0.0003023454944443722,0.00010819294567859389
59,uniform,0.08589061120995159,0.02392946466064172,0.008563048954655367,0.09153280555883772,0.025018551244601648,0.008952773583541284,122.11897625014768,1.1258348060070746,0.4028748112593579
60,active,0.00012667377008232505,3.763994506158936e-05,1.3469281356011945e-05,0.00013308374947916993,4.509990780852199e-05,1.613879474077884e-05,23.001013390160654,0.00030111956049268983,0.0001077542508480866
60,uniform,0.08020587203224458,0.0238324367779412,0.008528327972748167,0.08185521234320682,0.023422218350712252,0.00838153319383108,121.6834845554443,1.053999825782052,0.37716899372239876
61,active,9.076945200007513e-05,5.227919262473088e-05,1.8707868817965572e-05,5.7628165662319675e-05,3.780790721195447e-05,1.3529385839605815e-05,12.200726155616,0.00041823354099764984,0.00014966295054365402
61,uniform,0.05747238001066115,0.03310155078579465,0.011845237821804624,0.03064595369431782,0.021493394152088743,0.007691312318773103,65.3790679162443,0.9672027368439922,0.34610905434478917
62,active,0.00013234340692879696,5.441268707196792e-05,1.9471330000873884e-05,0.00012126790256279501,5.535285371577383e-05,1.980776431357648e-05,23.00105874725543,0.0004353014965757561,0.00015577064000699562
62,uniform,0.08379570887914592,0.03445241278749625,0.012328637580871542,0.08202332904231527,0.03154954621426407,0.011289860118528042,121.69104980690418,1.4197295796418838,0.5080437053337622
63,active,0.00011083495285196,4.18628956498499e-05,1.4980444816339682e-05,7.441910601716822e-05,1.990059713147702e-05,7.1213372250652755e-06,15.800886679622813,0.0003349031651987207,0.00011984355853068937
63,uniform,0.07017722800361294,0.026506277102272272,0.009485149444472832,0.04441908528761222,0.013863499793599774,0.004960989687776236,83.99885883794256,0.6238574907119903,0.22324453594993077
