seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
21,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
21,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
22,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
22,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
22,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
22,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
22,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
22,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
22,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
22,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
23,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
23,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
23,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
23,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
23,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
23,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
23,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
23,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
24,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
24,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
24,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
24,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
24,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
24,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
24,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
24,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
25,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
25,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
25,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
25,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
25,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
25,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
25,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
25,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
26,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
26,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
26,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
26,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
26,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
26,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
26,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
26,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
27,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
27,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
